map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.042462712890844472e+02,1.042457558083954297e+02,1.042470183802180514e+02,1.042458589469742805e+02,1.042445318490393333e+02,1.042473883531389163e+02,1.042440294094879079e+02,1.042437125017475807e+02,1.042449350915548081e+02,1.042459431245934951e+02,1.042455123063463844e+02
1.043236216924070305e+02,1.043230453712820491e+02,1.043237009022547142e+02,1.043232134751722811e+02,1.043219599486364615e+02,1.043238171373827896e+02,1.043222756007745460e+02,1.043212657566378709e+02,1.043229259800111208e+02,1.043243329117348708e+02,1.043227650796228687e+02
1.042237984463543228e+02,1.042236791919481078e+02,1.042242815016558524e+02,1.042241853365948714e+02,1.042235169054858801e+02,1.042244626420960145e+02,1.042243864162050642e+02,1.042229565988262152e+02,1.042242866460211701e+02,1.042262981192209566e+02,1.042232178048127906e+02
1.040887205344725714e+02,1.040895076962449224e+02,1.040901394581477746e+02,1.040905749013633539e+02,1.040900541795531353e+02,1.040905917406485486e+02,1.040911882480259720e+02,1.040900332668751531e+02,1.040904904234786841e+02,1.040926273555579655e+02,1.040891343480208775e+02
1.041187472680120578e+02,1.041202999125101485e+02,1.041207168685834006e+02,1.041213271089323484e+02,1.041204051092145875e+02,1.041207710297756535e+02,1.041219728061966663e+02,1.041215054584948803e+02,1.041210456497225465e+02,1.041227205375159599e+02,1.041203806767559286e+02
1.043004506442800050e+02,1.043020793533799520e+02,1.043022221616684106e+02,1.043029705555785256e+02,1.043015927458355065e+02,1.043014700971794895e+02,1.043032599126737665e+02,1.043037348324751434e+02,1.043027402136902850e+02,1.043036760785831234e+02,1.043027518156041396e+02
1.044282562939625478e+02,1.044291121134260010e+02,1.044293220086534859e+02,1.044309193315133371e+02,1.044288625029988111e+02,1.044278817487242890e+02,1.044302090192807100e+02,1.044315917410141878e+02,1.044304149741866610e+02,1.044310957335151215e+02,1.044303563423986390e+02
1.043868312581319060e+02,1.043866882568732137e+02,1.043870969055470397e+02,1.043894881100518859e+02,1.043868305608543636e+02,1.043853858964721297e+02,1.043879318270818715e+02,1.043896110180698287e+02,1.043882254850396549e+02,1.043890894675881356e+02,1.043883488377608728e+02
1.042952927811751778e+02,1.042947219409744690e+02,1.042953463468924582e+02,1.042978397062262559e+02,1.042953321398581181e+02,1.042939542791925476e+02,1.042960251217176477e+02,1.042974318879363125e+02,1.042957371678300831e+02,1.042968206483740943e+02,1.042966813762049014e+02
1.043274513658791705e+02,1.043269780303297551e+02,1.043278868163810671e+02,1.043295808536325779e+02,1.043280843119003976e+02,1.043268686521278283e+02,1.043277515518315113e+02,1.043286340462959885e+02,1.043273169584877849e+02,1.043283181876240064e+02,1.043285438064609991e+02
1.044589010247204612e+02,1.044580219349682011e+02,1.044591554264542026e+02,1.044593725626516232e+02,1.044589764121666491e+02,1.044586826078517845e+02,1.044583555830835024e+02,1.044584769285992962e+02,1.044581853029053065e+02,1.044583685967989766e+02,1.044583598438056100e+02
